ID,year,week,start.date,end.date,district,cases
240,2007,9,2007-02-24,2007-03-02,NuwaraEliya,0
241,2007,9,2007-02-24,2007-03-02,Galle,1
242,2007,9,2007-02-24,2007-03-02,Hambanthota,1
243,2007,9,2007-02-24,2007-03-02,Matara,3
244,2007,9,2007-02-24,2007-03-02,Jaffna,0
245,2007,9,2007-02-24,2007-03-02,Kilinochchi,0
246,2007,9,2007-02-24,2007-03-02,Mannar,0
247,2007,9,2007-02-24,2007-03-02,Vavuniya,0
248,2007,9,2007-02-24,2007-03-02,Mullaitivu,0
249,2007,9,2007-02-24,2007-03-02,Batticaloa,1
250,2007,9,2007-02-24,2007-03-02,Ampara,1
251,2007,9,2007-02-24,2007-03-02,Trincomalee,0
252,2007,9,2007-02-24,2007-03-02,Kurunegala,8
253,2007,9,2007-02-24,2007-03-02,Puttalam,2
254,2007,9,2007-02-24,2007-03-02,Anuradhapura,0
255,2007,9,2007-02-24,2007-03-02,Polonnaruwa,1
256,2007,9,2007-02-24,2007-03-02,Badulla,1
257,2007,9,2007-02-24,2007-03-02,Monaragala,0
258,2007,9,2007-02-24,2007-03-02,Ratnapura,1
259,2007,9,2007-02-24,2007-03-02,Kegalle,1
260,2007,9,2007-02-24,2007-03-02,Kalmune,0
261,2007,10,2007-03-03,2007-03-09,Colombo,19
262,2007,10,2007-03-03,2007-03-09,Gampaha,8
263,2007,10,2007-03-03,2007-03-09,Kalutara,8
264,2007,10,2007-03-03,2007-03-09,Kandy,7
265,2007,10,2007-03-03,2007-03-09,Matale,1
266,2007,10,2007-03-03,2007-03-09,NuwaraEliya,0
267,2007,10,2007-03-03,2007-03-09,Galle,2
268,2007,10,2007-03-03,2007-03-09,Hambanthota,0
269,2007,10,2007-03-03,2007-03-09,Matara,2
270,2007,10,2007-03-03,2007-03-09,Jaffna,0
271,2007,10,2007-03-03,2007-03-09,Kilinochchi,0
272,2007,10,2007-03-03,2007-03-09,Mannar,0
273,2007,10,2007-03-03,2007-03-09,Vavuniya,0
274,2007,10,2007-03-03,2007-03-09,Mullaitivu,0
275,2007,10,2007-03-03,2007-03-09,Batticaloa,0
276,2007,10,2007-03-03,2007-03-09,Ampara,0
277,2007,10,2007-03-03,2007-03-09,Trincomalee,5
278,2007,10,2007-03-03,2007-03-09,Kurunegala,6
279,2007,10,2007-03-03,2007-03-09,Puttalam,1
280,2007,10,2007-03-03,2007-03-09,Anuradhapura,2
281,2007,10,2007-03-03,2007-03-09,Polonnaruwa,1
282,2007,10,2007-03-03,2007-03-09,Badulla,1
283,2007,10,2007-03-03,2007-03-09,Monaragala,0
284,2007,10,2007-03-03,2007-03-09,Ratnapura,4
285,2007,10,2007-03-03,2007-03-09,Kegalle,8
286,2007,10,2007-03-03,2007-03-09,Kalmune,0
287,2007,11,2007-03-10,2007-03-16,Colombo,11
288,2007,11,2007-03-10,2007-03-16,Gampaha,9
289,2007,11,2007-03-10,2007-03-16,Kalutara,4
290,2007,11,2007-03-10,2007-03-16,Kandy,3
291,2007,11,2007-03-10,2007-03-16,Matale,1
292,2007,11,2007-03-10,2007-03-16,NuwaraEliya,1
293,2007,11,2007-03-10,2007-03-16,Galle,1
294,2007,11,2007-03-10,2007-03-16,Hambanthota,3
295,2007,11,2007-03-10,2007-03-16,Matara,2
296,2007,11,2007-03-10,2007-03-16,Jaffna,0
297,2007,11,2007-03-10,2007-03-16,Kilinochchi,0
298,2007,11,2007-03-10,2007-03-16,Mannar,0
299,2007,11,2007-03-10,2007-03-16,Vavuniya,0
300,2007,11,2007-03-10,2007-03-16,Mullaitivu,0
301,2007,11,2007-03-10,2007-03-16,Batticaloa,1
302,2007,11,2007-03-10,2007-03-16,Ampara,0
303,2007,11,2007-03-10,2007-03-16,Trincomalee,0
304,2007,11,2007-03-10,2007-03-16,Kurunegala,11
305,2007,11,2007-03-10,2007-03-16,Puttalam,2
306,2007,11,2007-03-10,2007-03-16,Anuradhapura,1
307,2007,11,2007-03-10,2007-03-16,Polonnaruwa,1
308,2007,11,2007-03-10,2007-03-16,Badulla,1
309,2007,11,2007-03-10,2007-03-16,Monaragala,0
310,2007,11,2007-03-10,2007-03-16,Ratnapura,6
311,2007,11,2007-03-10,2007-03-16,Kegalle,3
312,2007,11,2007-03-10,2007-03-16,Kalmune,0
313,2007,12,2007-03-17,2007-03-23,Colombo,11
314,2007,12,2007-03-17,2007-03-23,Gampaha,4
